time,f0,frame,rms
0.000000000000000000e+00,2.912496643066406250e+02,0.000000000000000000e+00,3.278255462646484375e-07
4.535147309070453048e-05,2.912496643066406250e+02,1.000000000000000000e+00,2.160668373107910156e-07
9.070294618140906096e-05,2.912496643066406250e+02,2.000000000000000000e+00,1.415610313415527344e-07
1.360544265480712056e-04,2.912496643066406250e+02,3.000000000000000000e+00,6.332993507385253906e-08
1.814058923628181219e-04,2.912496643066406250e+02,4.000000000000000000e+00,2.309679985046386719e-07
2.267573727294802666e-04,2.912496643066406250e+02,5.000000000000000000e+00,2.086162567138671875e-07
2.721088530961424112e-04,2.912496643066406250e+02,6.000000000000000000e+00,3.278255462646484375e-07
3.174603043589740992e-04,2.912496643066406250e+02,7.000000000000000000e+00,4.954636096954345703e-07
3.628117847256362438e-04,2.912496643066406250e+02,8.000000000000000000e+00,7.413327693939208984e-07
4.081632650922983885e-04,2.912496643066406250e+02,9.000000000000000000e+00,7.972121238708496094e-07
4.535147454589605331e-04,2.912496643066406250e+02,1.000000000000000000e+01,7.562339305877685547e-07
4.988661967217922211e-04,2.912496643066406250e+02,1.100000000000000000e+01,3.799796104431152344e-07
5.442177061922848225e-04,2.912496643066406250e+02,1.200000000000000000e+01,2.160668373107910156e-07
5.895691574551165104e-04,2.912496643066406250e+02,1.300000000000000000e+01,5.215406417846679688e-08
6.349206087179481983e-04,2.912496643066406250e+02,1.400000000000000000e+01,2.458691596984863281e-07
6.802721181884407997e-04,2.912496643066406250e+02,1.500000000000000000e+01,7.450580596923828125e-08
7.256235694512724876e-04,2.912496643066406250e+02,1.600000000000000000e+01,9.685754776000976562e-08
7.709750789217650890e-04,2.912496643066406250e+02,1.700000000000000000e+01,2.607703208923339844e-07
8.163265301845967770e-04,2.912496643066406250e+02,1.800000000000000000e+01,2.123415470123291016e-07
8.616779814474284649e-04,2.912496643066406250e+02,1.900000000000000000e+01,1.862645149230957031e-08
9.070294909179210663e-04,2.912496643066406250e+02,2.000000000000000000e+01,6.332993507385253906e-08
9.523809421807527542e-04,2.912496643066406250e+02,2.100000000000000000e+01,5.140900611877441406e-07
9.977323934435844421e-04,2.912496643066406250e+02,2.200000000000000000e+01,5.029141902923583984e-07
1.043083844706416130e-03,2.912496643066406250e+02,2.300000000000000000e+01,5.066394805908203125e-07
1.088435412384569645e-03,2.912496643066406250e+02,2.400000000000000000e+01,6.146728992462158203e-07
1.133786863647401333e-03,2.912496643066406250e+02,2.500000000000000000e+01,2.123415470123291016e-07
1.179138314910233021e-03,2.912496643066406250e+02,2.600000000000000000e+01,3.613531589508056641e-07
1.224489766173064709e-03,2.912496643066406250e+02,2.700000000000000000e+01,5.513429641723632812e-07
1.269841217435896397e-03,2.912496643066406250e+02,2.800000000000000000e+01,8.530914783477783203e-07
1.315192785114049911e-03,2.912496643066406250e+02,2.900000000000000000e+01,1.113861799240112305e-06
1.360544236376881599e-03,2.912496643066406250e+02,3.000000000000000000e+01,1.251697540283203125e-06
1.405895687639713287e-03,2.912496643066406250e+02,3.100000000000000000e+01,1.206994056701660156e-06
1.451247138902544975e-03,2.912496643066406250e+02,3.200000000000000000e+01,1.117587089538574219e-06
1.496598590165376663e-03,2.912496643066406250e+02,3.300000000000000000e+01,1.054257154464721680e-06
1.541950157843530178e-03,2.912496643066406250e+02,3.400000000000000000e+01,8.083879947662353516e-07
1.587301609106361866e-03,2.912496643066406250e+02,3.500000000000000000e+01,7.748603820800781250e-07
1.632653060369193554e-03,2.912496643066406250e+02,3.600000000000000000e+01,7.823109626770019531e-07
1.678004511632025242e-03,2.912496643066406250e+02,3.700000000000000000e+01,7.562339305877685547e-07
1.723355962894856930e-03,2.912496643066406250e+02,3.800000000000000000e+01,4.768371582031250000e-07
1.768707530573010445e-03,2.912496643066406250e+02,3.900000000000000000e+01,1.601874828338623047e-07
1.814058981835842133e-03,2.912496643066406250e+02,4.000000000000000000e+01,7.785856723785400391e-07
1.859410433098673820e-03,2.912496643066406250e+02,4.100000000000000000e+01,1.307576894760131836e-06
1.904761884361505508e-03,2.912496643066406250e+02,4.200000000000000000e+01,8.679926395416259766e-07
1.950113335624337196e-03,2.912496643066406250e+02,4.300000000000000000e+01,3.427267074584960938e-07
1.995464786887168884e-03,2.912496643066406250e+02,4.400000000000000000e+01,2.086162567138671875e-07
2.040816238150000572e-03,2.912496643066406250e+02,4.500000000000000000e+01,1.303851604461669922e-07
2.086167689412832260e-03,2.912496643066406250e+02,4.600000000000000000e+01,1.043081283569335938e-07
2.131519373506307602e-03,2.912496643066406250e+02,4.700000000000000000e+01,8.940696716308593750e-08
2.176870824769139290e-03,2.912496643066406250e+02,4.800000000000000000e+01,1.065433025360107422e-06
2.222222276031970978e-03,2.912496643066406250e+02,4.900000000000000000e+01,8.940696716308593750e-08
2.267573727294802666e-03,2.912496643066406250e+02,5.000000000000000000e+01,5.811452865600585938e-07
2.312925178557634354e-03,2.912496643066406250e+02,5.100000000000000000e+01,1.017004251480102539e-06
2.358276629820466042e-03,2.912496643066406250e+02,5.200000000000000000e+01,3.319233655929565430e-06
2.403628081083297729e-03,2.912496643066406250e+02,5.300000000000000000e+01,4.693865776062011719e-06
2.448979532346129417e-03,2.912496643066406250e+02,5.400000000000000000e+01,5.081295967102050781e-06
2.494330983608961105e-03,2.912496643066406250e+02,5.500000000000000000e+01,4.146248102188110352e-06
2.539682434871792793e-03,2.912496643066406250e+02,5.600000000000000000e+01,2.842396497726440430e-06
2.585034118965268135e-03,2.912496643066406250e+02,5.700000000000000000e+01,1.579523086547851562e-06
2.630385570228099823e-03,2.912496643066406250e+02,5.800000000000000000e+01,1.799315214157104492e-06
2.675737021490931511e-03,2.912496643066406250e+02,5.900000000000000000e+01,1.154839992523193359e-07
